split,method,metric,mean,ci95,seeds,rows_per_seed
combined_micro_shift,hazard_regression_refresh,safety_utility,0.77286,0.01334,10,320
combined_micro_shift,online_finetune,goal_success,0.62344,0.01898,10,320
combined_micro_shift,online_finetune,success_auc,0.62143,0.01961,10,320
combined_micro_shift,online_finetune,late_success,0.60875,0.02532,10,320
combined_micro_shift,online_finetune,unsafe_failure,0.07313,0.00843,10,320
combined_micro_shift,online_finetune,stale_execution,0.31312,0.01917,10,320
combined_micro_shift,online_finetune,refresh_rate,0.02938,0.00100,10,320
combined_micro_shift,online_finetune,probe_rate,0.09781,0.01358,10,320
combined_micro_shift,online_finetune,abstain_rate,0.00000,0.00000,10,320
combined_micro_shift,online_finetune,total_cost,1.07909,0.00684,10,320
combined_micro_shift,online_finetune,half_life_error,0.30437,0.00525,10,320
combined_micro_shift,online_finetune,calibration_error,0.41753,0.00548,10,320
combined_micro_shift,online_finetune,risk_upper,0.27630,0.00531,10,320
combined_micro_shift,online_finetune,hazard_score,0.33091,0.01047,10,320
combined_micro_shift,online_finetune,safety_utility,0.44155,0.02730,10,320
combined_micro_shift,oracle_shift_aware_scheduler,goal_success,0.83156,0.01476,10,320
combined_micro_shift,oracle_shift_aware_scheduler,success_auc,0.83143,0.01471,10,320
combined_micro_shift,oracle_shift_aware_scheduler,late_success,0.81250,0.02530,10,320
combined_micro_shift,oracle_shift_aware_scheduler,unsafe_failure,0.00125,0.00100,10,320
combined_micro_shift,oracle_shift_aware_scheduler,stale_execution,0.00000,0.00000,10,320
combined_micro_shift,oracle_shift_aware_scheduler,refresh_rate,0.19468,0.00242,10,320
combined_micro_shift,oracle_shift_aware_scheduler,probe_rate,0.55000,0.00524,10,320
combined_micro_shift,oracle_shift_aware_scheduler,abstain_rate,0.00000,0.00000,10,320
combined_micro_shift,oracle_shift_aware_scheduler,total_cost,1.10393,0.00123,10,320
combined_micro_shift,oracle_shift_aware_scheduler,half_life_error,0.00000,0.00000,10,320
combined_micro_shift,oracle_shift_aware_scheduler,calibration_error,0.28149,0.01005,10,320
combined_micro_shift,oracle_shift_aware_scheduler,risk_upper,0.18125,0.00111,10,320
combined_micro_shift,oracle_shift_aware_scheduler,hazard_score,0.14787,0.00081,10,320
combined_micro_shift,oracle_shift_aware_scheduler,safety_utility,0.81591,0.01437,10,320
combined_micro_shift,scalar_uncertainty_gate,goal_success,0.74625,0.01703,10,320
combined_micro_shift,scalar_uncertainty_gate,success_auc,0.74492,0.01642,10,320
combined_micro_shift,scalar_uncertainty_gate,late_success,0.75250,0.04225,10,320
combined_micro_shift,scalar_uncertainty_gate,unsafe_failure,0.00875,0.00286,10,320
combined_micro_shift,scalar_uncertainty_gate,stale_execution,0.00000,0.00000,10,320
combined_micro_shift,scalar_uncertainty_gate,refresh_rate,0.13094,0.00551,10,320
combined_micro_shift,scalar_uncertainty_gate,probe_rate,0.35750,0.01026,10,320
combined_micro_shift,scalar_uncertainty_gate,abstain_rate,0.00000,0.00000,10,320
combined_micro_shift,scalar_uncertainty_gate,total_cost,1.07544,0.00298,10,320
combined_micro_shift,scalar_uncertainty_gate,half_life_error,0.14881,0.00309,10,320
combined_micro_shift,scalar_uncertainty_gate,calibration_error,0.35221,0.00851,10,320
combined_micro_shift,scalar_uncertainty_gate,risk_upper,0.24444,0.00118,10,320
combined_micro_shift,scalar_uncertainty_gate,hazard_score,0.19584,0.00214,10,320
combined_micro_shift,scalar_uncertainty_gate,safety_utility,0.72799,0.01665,10,320
combined_micro_shift,skill_half_life_scheduler_v5,goal_success,0.81531,0.01189,10,320
combined_micro_shift,skill_half_life_scheduler_v5,success_auc,0.81524,0.01190,10,320
combined_micro_shift,skill_half_life_scheduler_v5,late_success,0.80875,0.02478,10,320
combined_micro_shift,skill_half_life_scheduler_v5,unsafe_failure,0.00469,0.00246,10,320
combined_micro_shift,skill_half_life_scheduler_v5,stale_execution,0.00000,0.00000,10,320
combined_micro_shift,skill_half_life_scheduler_v5,refresh_rate,0.15906,0.00143,10,320
combined_micro_shift,skill_half_life_scheduler_v5,probe_rate,0.56938,0.00604,10,320
combined_micro_shift,skill_half_life_scheduler_v5,abstain_rate,0.00000,0.00000,10,320
combined_micro_shift,skill_half_life_scheduler_v5,total_cost,1.09943,0.00219,10,320
combined_micro_shift,skill_half_life_scheduler_v5,half_life_error,0.12375,0.00270,10,320
combined_micro_shift,skill_half_life_scheduler_v5,calibration_error,0.30082,0.00746,10,320
combined_micro_shift,skill_half_life_scheduler_v5,risk_upper,0.27702,0.00084,10,320
combined_micro_shift,skill_half_life_scheduler_v5,hazard_score,0.15466,0.00111,10,320
combined_micro_shift,skill_half_life_scheduler_v5,safety_utility,0.79727,0.01144,10,320
compliance_shift,bayesian_skill_survival,goal_success,0.82125,0.00790,10,320
compliance_shift,bayesian_skill_survival,success_auc,0.82079,0.00828,10,320
compliance_shift,bayesian_skill_survival,late_success,0.80625,0.02763,10,320
compliance_shift,bayesian_skill_survival,unsafe_failure,0.00156,0.00165,10,320
compliance_shift,bayesian_skill_survival,stale_execution,0.00000,0.00000,10,320
compliance_shift,bayesian_skill_survival,refresh_rate,0.17625,0.00277,10,320
compliance_shift,bayesian_skill_survival,probe_rate,0.57469,0.00649,10,320
compliance_shift,bayesian_skill_survival,abstain_rate,0.00000,0.00000,10,320
compliance_shift,bayesian_skill_survival,total_cost,1.09025,0.00180,10,320
compliance_shift,bayesian_skill_survival,half_life_error,0.09348,0.00178,10,320
compliance_shift,bayesian_skill_survival,calibration_error,0.30054,0.00493,10,320
compliance_shift,bayesian_skill_survival,risk_upper,0.25941,0.00067,10,320
compliance_shift,bayesian_skill_survival,hazard_score,0.15891,0.00080,10,320
compliance_shift,bayesian_skill_survival,safety_utility,0.80724,0.00771,10,320
compliance_shift,conformal_risk_gate,goal_success,0.79594,0.00931,10,320
compliance_shift,conformal_risk_gate,success_auc,0.79476,0.00964,10,320
compliance_shift,conformal_risk_gate,late_success,0.77625,0.02932,10,320
compliance_shift,conformal_risk_gate,unsafe_failure,0.00500,0.00208,10,320
compliance_shift,conformal_risk_gate,stale_execution,0.00000,0.00000,10,320
compliance_shift,conformal_risk_gate,refresh_rate,0.15438,0.00208,10,320
compliance_shift,conformal_risk_gate,probe_rate,0.50688,0.00499,10,320
compliance_shift,conformal_risk_gate,abstain_rate,0.00000,0.00000,10,320
compliance_shift,conformal_risk_gate,total_cost,1.08240,0.00203,10,320
compliance_shift,conformal_risk_gate,half_life_error,0.06327,0.00157,10,320
compliance_shift,conformal_risk_gate,calibration_error,0.32198,0.00523,10,320
compliance_shift,conformal_risk_gate,risk_upper,0.27136,0.00057,10,320
compliance_shift,conformal_risk_gate,hazard_score,0.15600,0.00069,10,320
compliance_shift,conformal_risk_gate,safety_utility,0.78000,0.00819,10,320
compliance_shift,cvar_lifetime_guard,goal_success,0.83094,0.01280,10,320
compliance_shift,cvar_lifetime_guard,success_auc,0.83048,0.01288,10,320
compliance_shift,cvar_lifetime_guard,late_success,0.84500,0.02136,10,320
compliance_shift,cvar_lifetime_guard,unsafe_failure,0.00156,0.00137,10,320
compliance_shift,cvar_lifetime_guard,stale_execution,0.00000,0.00000,10,320
compliance_shift,cvar_lifetime_guard,refresh_rate,0.28031,0.00517,10,320
