split,method,seed,goal_success,success_auc,late_success,unsafe_failure,stale_execution,refresh_rate,probe_rate,abstain_rate,total_cost,half_life_error,calibration_error,rows
friction_shift,frozen_behavior_clone,3,0.37153,0.36934,0.18056,0.38542,0.76736,0.00000,0.00000,0.00000,1.32760,0.94122,0.41162,288
friction_shift,frozen_behavior_clone,4,0.36458,0.36411,0.16667,0.36458,0.76042,0.00000,0.00000,0.00000,1.30990,0.94925,0.41573,288
friction_shift,frozen_behavior_clone,5,0.35069,0.34843,0.11111,0.39931,0.74306,0.00000,0.00000,0.00000,1.33941,0.94886,0.41513,288
friction_shift,frozen_behavior_clone,6,0.32639,0.32404,0.12500,0.42708,0.73264,0.00000,0.00000,0.00000,1.36302,0.93765,0.41532,288
friction_shift,domain_randomized_clone,0,0.38194,0.38153,0.13889,0.36111,0.75000,0.00000,0.00000,0.00000,1.30694,0.58710,0.38849,288
friction_shift,domain_randomized_clone,1,0.42708,0.42683,0.18056,0.32292,0.76042,0.00000,0.00000,0.00000,1.27448,0.59372,0.39947,288
friction_shift,domain_randomized_clone,2,0.42014,0.41986,0.22222,0.30903,0.76389,0.00000,0.00000,0.00000,1.26267,0.59332,0.41501,288
friction_shift,domain_randomized_clone,3,0.34375,0.34321,0.15278,0.32292,0.76736,0.00000,0.00000,0.00000,1.27448,0.59883,0.41428,288
friction_shift,domain_randomized_clone,4,0.37153,0.37108,0.20833,0.30903,0.76042,0.00000,0.00000,0.00000,1.26267,0.59972,0.41466,288
friction_shift,domain_randomized_clone,5,0.41319,0.41289,0.13889,0.34375,0.74306,0.00000,0.00000,0.00000,1.29219,0.59253,0.38279,288
friction_shift,domain_randomized_clone,6,0.36806,0.36585,0.18056,0.36458,0.73264,0.00000,0.00000,0.00000,1.30990,0.58990,0.39301,288
friction_shift,fixed_interval_refresh,0,0.67014,0.66899,0.59722,0.02431,0.19097,0.04167,0.00000,0.00000,1.03149,0.34289,0.39674,288
friction_shift,fixed_interval_refresh,1,0.64583,0.64634,0.59722,0.04167,0.18750,0.04167,0.00000,0.00000,1.04625,0.32691,0.40297,288
friction_shift,fixed_interval_refresh,2,0.67361,0.67422,0.62500,0.04861,0.18056,0.04167,0.00000,0.00000,1.05215,0.31169,0.39123,288
friction_shift,fixed_interval_refresh,3,0.59722,0.59756,0.56944,0.03472,0.18403,0.04167,0.00000,0.00000,1.04035,0.30420,0.42653,288
friction_shift,fixed_interval_refresh,4,0.65972,0.66028,0.55556,0.02431,0.18750,0.04167,0.00000,0.00000,1.03149,0.31179,0.40176,288
friction_shift,fixed_interval_refresh,5,0.63889,0.63763,0.52778,0.04167,0.18750,0.04167,0.00000,0.00000,1.04625,0.33854,0.40761,288
friction_shift,fixed_interval_refresh,6,0.62847,0.62892,0.51389,0.03819,0.19097,0.04167,0.00000,0.00000,1.04330,0.34617,0.41283,288
friction_shift,online_finetune,0,0.46181,0.45993,0.25000,0.21875,0.67014,0.00000,0.00000,0.00000,1.18594,0.25483,0.41813,288
friction_shift,online_finetune,1,0.49306,0.49303,0.34722,0.20486,0.67361,0.00000,0.00000,0.00000,1.17413,0.25934,0.43965,288
friction_shift,online_finetune,2,0.48264,0.48258,0.30556,0.21181,0.67708,0.00000,0.00000,0.00000,1.18003,0.25847,0.43252,288
friction_shift,online_finetune,3,0.51389,0.51394,0.33333,0.16667,0.64931,0.00347,0.00000,0.00000,1.14257,0.26410,0.43242,288
friction_shift,online_finetune,4,0.45833,0.45819,0.26389,0.18403,0.62847,0.00347,0.00000,0.00000,1.15733,0.26456,0.42389,288
friction_shift,online_finetune,5,0.46181,0.46167,0.33333,0.17708,0.56944,0.00347,0.00000,0.00000,1.15142,0.25830,0.43297,288
friction_shift,online_finetune,6,0.43403,0.43206,0.15278,0.19097,0.62500,0.00347,0.00000,0.00000,1.16323,0.25831,0.41556,288
friction_shift,scalar_uncertainty_gate,0,0.69792,0.69686,0.66667,0.01736,0.00000,0.08333,0.00000,0.00000,1.03642,0.12512,0.38070,288
friction_shift,scalar_uncertainty_gate,1,0.78125,0.78049,0.80556,0.01042,0.00000,0.08681,0.00000,0.00000,1.03142,0.12863,0.34299,288
friction_shift,scalar_uncertainty_gate,2,0.74306,0.74390,0.69444,0.00694,0.00000,0.08333,0.00000,0.00000,1.02757,0.12499,0.35497,288
