split,skill,seed,step,method,goal_success,unsafe_failure,stale_execution,refresh,probe,abstain,coverage,false_safe,total_cost,predicted_success,calibration_abs_error,true_success_probability,risk_upper,hazard_score,estimated_half_life,true_half_life,half_life_abs_relative_error,shift_norm,observed_norm,mode_signal,exec_age,failure_label,risk_budget
combined_micro_shift,pick_place,0,15,ensemble_uncertainty_gate,0,0,0,0,0,1,0,0,1.48000,0.60019,0.60019,0.58317,0.36130,0.41694,19.27292,17.54745,0.09833,0.30198,0.27955,0.01255,15.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,16,ensemble_uncertainty_gate,0,0,0,0,0,1,0,0,1.48000,0.57171,0.57171,0.56193,0.38616,0.45303,18.38115,17.23176,0.06670,0.31531,0.32207,0.00985,16.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,17,ensemble_uncertainty_gate,0,0,0,0,0,1,0,0,1.48000,0.50523,0.50523,0.55157,0.45238,0.53753,15.28012,17.53412,0.12855,0.30253,0.38206,0.08356,17.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,18,ensemble_uncertainty_gate,0,0,0,0,0,1,0,0,1.48000,0.44342,0.44342,0.41014,0.56039,0.61071,13.22483,12.76125,0.03633,0.52485,0.48136,0.38160,18.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,19,ensemble_uncertainty_gate,0,0,0,0,0,1,0,0,1.48000,0.49446,0.49446,0.50572,0.44525,0.55435,16.29478,16.61050,0.01901,0.34302,0.33423,0.04157,19.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,20,ensemble_uncertainty_gate,0,0,0,0,0,1,0,0,1.48000,0.53569,0.53569,0.48758,0.39714,0.50400,19.77107,16.39394,0.20600,0.35317,0.24394,0.00000,20.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,21,ensemble_uncertainty_gate,0,0,0,0,0,1,0,0,1.48000,0.47574,0.47574,0.46741,0.47691,0.57628,16.95172,16.05617,0.05578,0.36955,0.37721,0.11490,21.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,22,ensemble_uncertainty_gate,0,0,0,0,0,1,0,0,1.48000,0.48670,0.48670,0.43995,0.44143,0.56578,18.27999,15.35699,0.19034,0.40575,0.32210,0.00000,22.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,23,ensemble_uncertainty_gate,0,0,0,0,0,1,0,0,1.48000,0.44878,0.44878,0.42305,0.47150,0.61474,16.71379,15.15468,0.10288,0.41685,0.35385,0.00000,23.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,24,ensemble_uncertainty_gate,0,0,0,0,0,1,0,0,1.48000,0.41793,0.41793,0.41467,0.50252,0.65489,15.63632,15.32584,0.02026,0.40744,0.34516,0.06651,24.00000,abstained_fixed_risk,0.02
